event_date,firm,car,direction,grp,z,etype
2023-10-19,EBS.VI,-0.005243436845743287,0.0,bank,0.2976788742054292,other
2023-10-19,RBI.VI,0.0013040900134275498,0.0,bank,-0.1603862510250389,other
2023-10-19,BG.VI,-0.008575493225527975,0.0,bank,-0.23359860729761434,other
2023-10-19,BIRG.IR,0.009719085367887369,0.0,bank,1.1461139920025163,other
2023-10-19,A5G.IR,0.0025403491238604574,0.0,bank,1.6694774266625145,other
2023-10-19,ETE.AT,0.0007238644113143943,0.0,bank,1.1896462862934265,other
2023-10-19,EUROB.AT,0.016431455988506878,0.0,bank,0.3949686796988067,other
2023-10-19,TPEIR.AT,0.0016650351904015474,0.0,bank,1.3177710426531568,other
2023-10-19,BCP.LS,0.0035860531146933742,0.0,bank,1.9115242988785415,other
2023-10-19,NEXI.MI,0.000337806237921642,0.0,payments,,other
2023-10-19,WLN.PA,0.01250298526211474,0.0,payments,,other
2023-10-19,ADYEN.AS,0.005840491835007247,0.0,payments,,other
2023-10-19,WISE.L,-0.0010517533223610592,0.0,payments,,other
2023-10-19,SWED-A.ST,-0.005155069945196094,0.0,control_bank,-1.1418669440853995,other
2023-10-19,SHB-A.ST,-0.026809500079410943,0.0,control_bank,-1.476933828719851,other
2023-10-19,DANSKE.CO,0.003639645107123008,0.0,control_bank,-2.034052437497537,other
2023-10-19,DNB.OL,-0.06874246210697768,0.0,control_bank,-0.9659534405231625,other
2023-10-19,LLOY.L,-0.013107247064726308,0.0,control_bank,,other
2023-10-19,NWG.L,-0.010582193102387082,0.0,control_bank,,other
2023-10-19,UBSG.SW,-0.006461723042429589,0.0,control_bank,,other
2023-10-19,MA,-0.007495476378544909,0.0,payments,,other
2023-10-19,V,-0.009330124981787707,0.0,payments,,other
2023-10-19,AXP,-0.0005685893501600689,0.0,payments,,other
2023-10-19,PYPL,-0.004158702418746895,0.0,payments,,other
2023-10-19,GPN,-0.010677108878793123,0.0,payments,,other
2023-10-19,AAPL,0.008266109133386658,0.0,gate,,other
2023-10-19,GOOGL,0.007627839209527124,0.0,gate,,other
2023-10-19,AMZN,0.014287916768264457,0.0,gate,,other
2023-10-19,META,-0.0019357495150801231,0.0,gate,,other
2023-10-31,DBK.DE,-0.004310165115662716,-1.0,bank,-1.5981878524090556,impl
2023-10-31,CBK.DE,0.007308171247462713,-1.0,bank,-0.1969766074951668,impl
2023-10-31,BNP.PA,0.0032966885536949986,-1.0,bank,-1.8277916820311226,impl
2023-10-31,GLE.PA,0.008098918682375396,-1.0,bank,-1.8810103807023557,impl
2023-10-31,ACA.PA,0.011361100060891319,-1.0,bank,-0.430377884945561,impl
2023-10-31,SAN.MC,-0.006385349173581597,-1.0,bank,-0.6865870300483472,impl
2023-10-31,BBVA.MC,0.0016010518688875063,-1.0,bank,-0.5472047262920654,impl
2023-10-31,CABK.MC,-0.023837494416528326,-1.0,bank,0.6318798811046288,impl
2023-10-31,SAB.MC,-0.01443045702794271,-1.0,bank,0.2751144903870993,impl
2023-10-31,BKT.MC,-0.010926331167899034,-1.0,bank,0.4179464676689923,impl
2023-10-31,UNI.MC,0.0008820694749126874,-1.0,bank,0.15978485614852456,impl
2023-10-31,ISP.MI,0.030289805079249058,-1.0,bank,-0.3976038785149957,impl
2023-10-31,UCG.MI,0.0073426660938041965,-1.0,bank,-0.6729346213298831,impl
2023-10-31,BAMI.MI,0.02595444578103444,-1.0,bank,-0.5474307600897961,impl
2023-10-31,BPE.MI,0.05119639308499873,-1.0,bank,0.4457023654474827,impl
2023-10-31,MB.MI,0.015761332429995292,-1.0,bank,-1.913665771560751,impl
2023-10-31,INGA.AS,-0.006296020421775735,-1.0,bank,0.0804612861920478,impl
2023-10-31,ABN.AS,-0.012985508676109576,-1.0,bank,-0.12757135640344586,impl
2023-10-31,KBC.BR,-0.008028967015708745,-1.0,bank,0.48686960141089525,impl
2023-10-31,EBS.VI,-0.011811191207758866,-1.0,bank,0.2976788742054292,impl
2023-10-31,RBI.VI,0.0005251595454849388,-1.0,bank,-0.1603862510250389,impl
2023-10-31,BG.VI,0.008972693752106428,-1.0,bank,-0.23359860729761434,impl
2023-10-31,BIRG.IR,-0.020691264203561897,-1.0,bank,1.1461139920025163,impl
2023-10-31,A5G.IR,0.0033678401856934224,-1.0,bank,1.6694774266625145,impl
2023-10-31,ETE.AT,-0.01759666176661818,-1.0,bank,1.1896462862934265,impl
2023-10-31,EUROB.AT,-0.03454029272175165,-1.0,bank,0.3949686796988067,impl
2023-10-31,TPEIR.AT,-0.01316533536704054,-1.0,bank,1.3177710426531568,impl
2023-10-31,BCP.LS,0.0268891460236637,-1.0,bank,1.9115242988785415,impl
2023-10-31,NEXI.MI,0.04610318169936921,0.0,payments,,impl
2023-10-31,WLN.PA,0.0638497218769092,0.0,payments,,impl
2023-10-31,ADYEN.AS,0.01839649474913923,0.0,payments,,impl
2023-10-31,WISE.L,0.008305284906482706,0.0,payments,,impl
2023-10-31,SWED-A.ST,0.006551741331964095,0.0,control_bank,-1.1418669440853995,impl
2023-10-31,SHB-A.ST,-0.00337836913250842,0.0,control_bank,-1.476933828719851,impl
2023-10-31,DANSKE.CO,0.009330510720871594,0.0,control_bank,-2.034052437497537,impl
2023-10-31,DNB.OL,-0.013292909049101524,0.0,control_bank,-0.9659534405231625,impl
2023-10-31,LLOY.L,-0.005055617921776235,0.0,control_bank,,impl
2023-10-31,NWG.L,-0.01848338705819093,0.0,control_bank,,impl
2023-10-31,UBSG.SW,0.016393744780496905,0.0,control_bank,,impl
2023-10-31,MA,0.004377608045747361,0.0,payments,,impl
2023-10-31,V,0.01271737594043226,0.0,payments,,impl
2023-10-31,AXP,0.0035237489701170303,0.0,payments,,impl
2023-10-31,PYPL,-0.0009350812263171741,0.0,payments,,impl
2023-10-31,GPN,0.0318460061599995,0.0,payments,,impl
2023-10-31,AAPL,0.001505603083784425,0.0,gate,,impl
2023-10-31,GOOGL,-0.0028369968605667616,0.0,gate,,impl
2023-10-31,AMZN,0.010788788781590824,0.0,gate,,impl
2023-10-31,META,0.004284806845731036,0.0,gate,,impl
2024-02-09,DBK.DE,0.014510574909841875,0.0,bank,-1.5981878524090556,other
2024-02-09,CBK.DE,0.020287922219600275,0.0,bank,-0.1969766074951668,other
2024-02-09,BNP.PA,-0.014198203626300258,0.0,bank,-1.8277916820311226,other
2024-02-09,GLE.PA,-0.025021386387033627,0.0,bank,-1.8810103807023557,other
2024-02-09,ACA.PA,-0.013378461682262777,0.0,bank,-0.430377884945561,other
2024-02-09,SAN.MC,0.006133901541332591,0.0,bank,-0.6865870300483472,other
2024-02-09,BBVA.MC,0.0060280486375262066,0.0,bank,-0.5472047262920654,other
2024-02-09,CABK.MC,-0.014569699244499664,0.0,bank,0.6318798811046288,other
2024-02-09,SAB.MC,0.01956269177600716,0.0,bank,0.2751144903870993,other
2024-02-09,BKT.MC,0.03068567236904829,0.0,bank,0.4179464676689923,other
2024-02-09,UNI.MC,0.017609585401147654,0.0,bank,0.15978485614852456,other
2024-02-09,ISP.MI,-0.002123489131039458,0.0,bank,-0.3976038785149957,other
2024-02-09,UCG.MI,0.01685176808589163,0.0,bank,-0.6729346213298831,other
2024-02-09,BAMI.MI,0.03595828462007977,0.0,bank,-0.5474307600897961,other
2024-02-09,BPE.MI,0.00034556486278969865,0.0,bank,0.4457023654474827,other
2024-02-09,MB.MI,-0.030790058139551327,0.0,bank,-1.913665771560751,other
2024-02-09,INGA.AS,0.022617859916238506,0.0,bank,0.0804612861920478,other
2024-02-09,ABN.AS,0.023282203746935872,0.0,bank,-0.12757135640344586,other
2024-02-09,KBC.BR,0.04068153650096166,0.0,bank,0.48686960141089525,other
2024-02-09,EBS.VI,0.017282862942730223,0.0,bank,0.2976788742054292,other
2024-02-09,RBI.VI,0.015002379240024165,0.0,bank,-0.1603862510250389,other
2024-02-09,BG.VI,0.017324681852010942,0.0,bank,-0.23359860729761434,other
2024-02-09,BIRG.IR,0.02091383365797529,0.0,bank,1.1461139920025163,other
2024-02-09,A5G.IR,0.004549653121118014,0.0,bank,1.6694774266625145,other
2024-02-09,ETE.AT,-0.020217110811824646,0.0,bank,1.1896462862934265,other
2024-02-09,EUROB.AT,-0.018945507317959343,0.0,bank,0.3949686796988067,other
2024-02-09,TPEIR.AT,-0.011359838635772602,0.0,bank,1.3177710426531568,other
2024-02-09,BCP.LS,0.011304880101568352,0.0,bank,1.9115242988785415,other
2024-02-09,NEXI.MI,0.012830483620332546,0.0,payments,,other
2024-02-09,WLN.PA,0.033286755552645035,0.0,payments,,other
2024-02-09,ADYEN.AS,0.04848735888707502,0.0,payments,,other
2024-02-09,WISE.L,0.007885527483812995,0.0,payments,,other
2024-02-09,SWED-A.ST,0.013387198464121041,0.0,control_bank,-1.1418669440853995,other
2024-02-09,SHB-A.ST,0.006178396398587216,0.0,control_bank,-1.476933828719851,other
2024-02-09,DANSKE.CO,0.014462904720164343,0.0,control_bank,-2.034052437497537,other
2024-02-09,DNB.OL,-0.002329233708345666,0.0,control_bank,-0.9659534405231625,other
2024-02-09,LLOY.L,-0.008241690176145969,0.0,control_bank,,other
2024-02-09,NWG.L,-0.043039556903733026,0.0,control_bank,,other
2024-02-09,UBSG.SW,0.011096274354185472,0.0,control_bank,,other
2024-02-09,MA,-0.0010416595276057064,0.0,payments,,other
2024-02-09,V,-0.004961196767570383,0.0,payments,,other
2024-02-09,AXP,0.001773662893036761,0.0,payments,,other
2024-02-09,PYPL,0.06975923910009812,0.0,payments,,other
2024-02-09,GPN,0.006056690911689179,0.0,payments,,other
2024-02-09,AAPL,-0.010276796253113465,0.0,gate,,other
2024-02-09,GOOGL,0.005563671071586847,0.0,gate,,other
2024-02-09,AMZN,0.00980622133512635,0.0,gate,,other
2024-02-09,META,-0.010755548069332016,0.0,gate,,other
2024-02-20,DBK.DE,-0.008736031587237524,0.0,bank,-1.5981878524090556,other
2024-02-20,CBK.DE,-0.03036695564609656,0.0,bank,-0.1969766074951668,other
2024-02-20,BNP.PA,0.009147025713017752,0.0,bank,-1.8277916820311226,other
2024-02-20,GLE.PA,0.0012405689550785068,0.0,bank,-1.8810103807023557,other
2024-02-20,ACA.PA,0.002858389875398341,0.0,bank,-0.430377884945561,other
2024-02-20,SAN.MC,0.009591774874075705,0.0,bank,-0.6865870300483472,other
2024-02-20,BBVA.MC,0.019424904565021474,0.0,bank,-0.5472047262920654,other
2024-02-20,CABK.MC,-6.0946399901569415e-05,0.0,bank,0.6318798811046288,other
2024-02-20,SAB.MC,-0.023559746278902855,0.0,bank,0.2751144903870993,other
2024-02-20,BKT.MC,0.0038597597392753015,0.0,bank,0.4179464676689923,other
2024-02-20,UNI.MC,-0.008215840418771155,0.0,bank,0.15978485614852456,other
2024-02-20,ISP.MI,0.0058127750487620535,0.0,bank,-0.3976038785149957,other
2024-02-20,UCG.MI,0.008904650153040494,0.0,bank,-0.6729346213298831,other
2024-02-20,BAMI.MI,0.002050774143603653,0.0,bank,-0.5474307600897961,other
2024-02-20,BPE.MI,-0.0009609630596389071,0.0,bank,0.4457023654474827,other
2024-02-20,MB.MI,0.034981249276135294,0.0,bank,-1.913665771560751,other
2024-02-20,INGA.AS,0.005051269323371575,0.0,bank,0.0804612861920478,other
2024-02-20,ABN.AS,-0.03340118855546139,0.0,bank,-0.12757135640344586,other
2024-02-20,KBC.BR,-0.010694667923156678,0.0,bank,0.48686960141089525,other
2024-02-20,EBS.VI,-0.003833049189263733,0.0,bank,0.2976788742054292,other
2024-02-20,RBI.VI,-0.0008773745066038754,0.0,bank,-0.1603862510250389,other
2024-02-20,BG.VI,-0.010486171235881612,0.0,bank,-0.23359860729761434,other
2024-02-20,BIRG.IR,-0.017457520330624324,0.0,bank,1.1461139920025163,other
2024-02-20,A5G.IR,-0.008689719046745936,0.0,bank,1.6694774266625145,other
2024-02-20,ETE.AT,-0.005601842957596267,0.0,bank,1.1896462862934265,other
2024-02-20,EUROB.AT,-0.017889725206640127,0.0,bank,0.3949686796988067,other
2024-02-20,TPEIR.AT,-0.007846228623804618,0.0,bank,1.3177710426531568,other
2024-02-20,BCP.LS,0.007908810992609535,0.0,bank,1.9115242988785415,other
2024-02-20,NEXI.MI,-0.011304606790656696,0.0,payments,,other
