event_date,firm,car,direction,grp,z,etype
2023-06-28,DBK.DE,-0.00507370668877702,-1.0,bank,-1.5981878524090556,impl
2023-06-28,CBK.DE,-0.004278010981241613,-1.0,bank,-0.1969766074951668,impl
2023-06-28,BNP.PA,-0.004713258710981759,-1.0,bank,-1.8277916820311226,impl
2023-06-28,GLE.PA,-0.005401408373328386,-1.0,bank,-1.8810103807023557,impl
2023-06-28,ACA.PA,0.0021198858530540876,-1.0,bank,-0.430377884945561,impl
2023-06-28,SAN.MC,0.02607678897742301,-1.0,bank,-0.6865870300483472,impl
2023-06-28,BBVA.MC,0.002500616756538036,-1.0,bank,-0.5472047262920654,impl
2023-06-28,CABK.MC,-0.007754312141076424,-1.0,bank,0.6318798811046288,impl
2023-06-28,SAB.MC,-0.0016827039231108515,-1.0,bank,0.2751144903870993,impl
2023-06-28,BKT.MC,-0.0037763864257560602,-1.0,bank,0.4179464676689923,impl
2023-06-28,UNI.MC,0.003085652192641385,-1.0,bank,0.15978485614852456,impl
2023-06-28,ISP.MI,-0.005409542745965238,-1.0,bank,-0.3976038785149957,impl
2023-06-28,UCG.MI,-0.009406816992394226,-1.0,bank,-0.6729346213298831,impl
2023-06-28,BAMI.MI,0.004056542264677731,-1.0,bank,-0.5474307600897961,impl
2023-06-28,BPE.MI,0.0014326017009422725,-1.0,bank,0.4457023654474827,impl
2023-06-28,MB.MI,-0.0062524571515239855,-1.0,bank,-1.913665771560751,impl
2023-06-28,INGA.AS,-0.002103388860224547,-1.0,bank,0.0804612861920478,impl
2023-06-28,ABN.AS,-0.006905380319561393,-1.0,bank,-0.12757135640344586,impl
2023-06-28,KBC.BR,-0.007982899720885572,-1.0,bank,0.48686960141089525,impl
2023-06-28,EBS.VI,0.0004607752722611408,-1.0,bank,0.2976788742054292,impl
2023-06-28,RBI.VI,-0.009537820774814677,-1.0,bank,-0.1603862510250389,impl
2023-06-28,BG.VI,-0.0029364378488744326,-1.0,bank,-0.23359860729761434,impl
2023-06-28,BIRG.IR,-0.009898845496143444,-1.0,bank,1.1461139920025163,impl
2023-06-28,A5G.IR,-0.028867777511935068,-1.0,bank,1.6694774266625145,impl
2023-06-28,ETE.AT,0.014063858537366442,-1.0,bank,1.1896462862934265,impl
2023-06-28,EUROB.AT,0.004812445046120519,-1.0,bank,0.3949686796988067,impl
2023-06-28,TPEIR.AT,0.025174945848869597,-1.0,bank,1.3177710426531568,impl
2023-06-28,BCP.LS,0.007919834928612045,-1.0,bank,1.9115242988785415,impl
2023-06-28,NEXI.MI,-0.007307150351963636,-1.0,payments,,impl
2023-06-28,WLN.PA,0.0035209159208929525,-1.0,payments,,impl
2023-06-28,ADYEN.AS,0.017205187955347832,-1.0,payments,,impl
2023-06-28,WISE.L,0.03921423011705342,-1.0,payments,,impl
2023-06-28,SWED-A.ST,-0.010605287254569142,0.0,control_bank,-1.1418669440853995,impl
2023-06-28,SHB-A.ST,-0.004802753382705693,0.0,control_bank,-1.476933828719851,impl
2023-06-28,DANSKE.CO,0.0050816627012523295,0.0,control_bank,-2.034052437497537,impl
2023-06-28,DNB.OL,0.01350946737268669,0.0,control_bank,-0.9659534405231625,impl
2023-06-28,LLOY.L,-0.004217764007356236,0.0,control_bank,,impl
2023-06-28,NWG.L,0.0069619661775518985,0.0,control_bank,,impl
2023-06-28,UBSG.SW,0.0029588306936008816,0.0,control_bank,,impl
2023-06-28,MA,-0.0032982905051326676,-1.0,payments,,impl
2023-06-28,V,0.0033909451007622217,-1.0,payments,,impl
2023-06-28,AXP,0.01126341201419702,-1.0,payments,,impl
2023-06-28,PYPL,0.0010244977220707717,-1.0,payments,,impl
2023-06-28,GPN,0.0141809045123068,-1.0,payments,,impl
2023-06-28,AAPL,0.006938795680342409,0.0,gate,,impl
2023-06-28,GOOGL,0.015763867178910932,0.0,gate,,impl
2023-06-28,AMZN,0.0001798936448964394,0.0,gate,,impl
2023-06-28,META,-0.006463750381377636,0.0,gate,,impl
2023-10-19,DBK.DE,0.01880897068872743,0.0,bank,-1.5981878524090556,other
2023-10-19,CBK.DE,0.008041851614094002,0.0,bank,-0.1969766074951668,other
2023-10-19,BNP.PA,0.007540127148811289,0.0,bank,-1.8277916820311226,other
2023-10-19,GLE.PA,0.010934468099128763,0.0,bank,-1.8810103807023557,other
2023-10-19,ACA.PA,0.007513075151796492,0.0,bank,-0.430377884945561,other
2023-10-19,SAN.MC,0.021498299314484923,0.0,bank,-0.6865870300483472,other
2023-10-19,BBVA.MC,0.012751581204456616,0.0,bank,-0.5472047262920654,other
2023-10-19,CABK.MC,0.03929792225099514,0.0,bank,0.6318798811046288,other
2023-10-19,SAB.MC,0.03507330868857268,0.0,bank,0.2751144903870993,other
2023-10-19,BKT.MC,0.06136053106049612,0.0,bank,0.4179464676689923,other
2023-10-19,UNI.MC,0.029707413874602625,0.0,bank,0.15978485614852456,other
2023-10-19,ISP.MI,0.008718030185382093,0.0,bank,-0.3976038785149957,other
2023-10-19,UCG.MI,0.009563572687823875,0.0,bank,-0.6729346213298831,other
2023-10-19,BAMI.MI,-0.01171201622545203,0.0,bank,-0.5474307600897961,other
2023-10-19,BPE.MI,-0.005092285988783765,0.0,bank,0.4457023654474827,other
2023-10-19,MB.MI,0.0023686358673344586,0.0,bank,-1.913665771560751,other
2023-10-19,INGA.AS,0.013068889356469342,0.0,bank,0.0804612861920478,other
2023-10-19,ABN.AS,0.011836590413244617,0.0,bank,-0.12757135640344586,other
2023-10-19,KBC.BR,0.012966549474935647,0.0,bank,0.48686960141089525,other
2023-10-19,EBS.VI,0.0033426143103251205,0.0,bank,0.2976788742054292,other
2023-10-19,RBI.VI,0.012229790600908326,0.0,bank,-0.1603862510250389,other
2023-10-19,BG.VI,-0.0005146573504680417,0.0,bank,-0.23359860729761434,other
2023-10-19,BIRG.IR,0.01843087996317395,0.0,bank,1.1461139920025163,other
2023-10-19,A5G.IR,0.01088690169272198,0.0,bank,1.6694774266625145,other
2023-10-19,ETE.AT,0.008929584552963974,0.0,bank,1.1896462862934265,other
2023-10-19,EUROB.AT,0.025603078024697672,0.0,bank,0.3949686796988067,other
2023-10-19,TPEIR.AT,0.011673883017035641,0.0,bank,1.3177710426531568,other
2023-10-19,BCP.LS,0.011726561380274919,0.0,bank,1.9115242988785415,other
2023-10-19,NEXI.MI,0.008391743666441515,0.0,payments,,other
2023-10-19,WLN.PA,0.024719396382247176,0.0,payments,,other
2023-10-19,ADYEN.AS,0.014010955211160348,0.0,payments,,other
2023-10-19,WISE.L,0.004073067448113294,0.0,payments,,other
2023-10-19,SWED-A.ST,0.0005475698622636055,0.0,control_bank,-1.1418669440853995,other
2023-10-19,SHB-A.ST,-0.021840265083943974,0.0,control_bank,-1.476933828719851,other
2023-10-19,DANSKE.CO,0.011242531212304719,0.0,control_bank,-2.034052437497537,other
2023-10-19,DNB.OL,-0.06455288913442223,0.0,control_bank,-0.9659534405231625,other
2023-10-19,LLOY.L,-0.005867557098505283,0.0,control_bank,,other
2023-10-19,NWG.L,-0.0026009770049498573,0.0,control_bank,,other
