theta,sd_car,reps,power,firms,events,nonzero_bank_events,nonzero_psp_events
0.0,0.015,300,0.03666666666666667,44,19,10,7
0.005,0.015,300,0.56,44,19,10,7
0.0075,0.015,300,0.8833333333333333,44,19,10,7
0.01,0.015,300,0.9833333333333333,44,19,10,7
0.015,0.015,300,1.0,44,19,10,7
0.02,0.015,300,1.0,44,19,10,7
