event_date,firm,car,group,direction,proc,dir_bank,dir_payments,dir_gate
2023-10-19,UCG.MI,0.0018375360308944856,bank,0.0,True,0.0,0.0,0.0
2023-10-19,BAMI.MI,-0.019420930177339236,bank,0.0,True,0.0,0.0,0.0
2023-10-19,BPE.MI,-0.021877849663587697,bank,0.0,True,0.0,0.0,0.0
2023-10-19,MB.MI,-0.01024781236945741,bank,0.0,True,0.0,0.0,0.0
2023-10-19,INGA.AS,-0.00510753735446663,bank,0.0,True,0.0,0.0,0.0
2023-10-19,ABN.AS,-0.01638729539029745,bank,0.0,True,0.0,0.0,0.0
2023-10-19,KBC.BR,-0.0013873340625598345,bank,0.0,True,0.0,0.0,0.0
2023-10-19,EBS.VI,0.00293778061008791,bank,0.0,True,0.0,0.0,0.0
2023-10-19,RBI.VI,0.00857604956903362,bank,0.0,True,0.0,0.0,0.0
2023-10-19,BG.VI,-0.03699946603660659,bank,0.0,True,0.0,0.0,0.0
2023-10-19,BIRG.IR,0.0005510722958242745,bank,0.0,True,0.0,0.0,0.0
2023-10-19,A5G.IR,-0.006163835137031559,bank,0.0,True,0.0,0.0,0.0
2023-10-19,ETE.AT,0.026178655761649912,bank,0.0,True,0.0,0.0,0.0
2023-10-19,EUROB.AT,0.039686820423206634,bank,0.0,True,0.0,0.0,0.0
2023-10-19,TPEIR.AT,0.007560869962000666,bank,0.0,True,0.0,0.0,0.0
2023-10-19,BCP.LS,-0.0015020000903116495,bank,0.0,True,0.0,0.0,0.0
2023-10-19,NEXI.MI,0.039190951391769695,payments,0.0,True,0.0,0.0,0.0
2023-10-19,WLN.PA,0.03148247922441616,payments,0.0,True,0.0,0.0,0.0
2023-10-19,ADYEN.AS,-0.00773779478223534,payments,0.0,True,0.0,0.0,0.0
2023-10-19,WISE.L,-0.022926122716015532,payments,0.0,True,0.0,0.0,0.0
2023-10-19,SWED-A.ST,-0.006917577909204197,control_bank,0.0,True,0.0,0.0,0.0
2023-10-19,SHB-A.ST,-0.029798930390001258,control_bank,0.0,True,0.0,0.0,0.0
2023-10-19,DANSKE.CO,0.00023936593757446865,control_bank,0.0,True,0.0,0.0,0.0
2023-10-19,DNB.OL,-0.07002278168355218,control_bank,0.0,True,0.0,0.0,0.0
2023-10-19,LLOY.L,-0.004968595635878882,control_bank,0.0,True,0.0,0.0,0.0
2023-10-19,NWG.L,-0.012633286254510045,control_bank,0.0,True,0.0,0.0,0.0
2023-10-19,UBSG.SW,-0.022261709049976618,control_bank,0.0,True,0.0,0.0,0.0
2023-10-19,MA,-0.00754479101828912,payments,0.0,True,0.0,0.0,0.0
2023-10-19,V,-0.002157780586186526,payments,0.0,True,0.0,0.0,0.0
2023-10-19,AXP,-0.03854579876936714,payments,0.0,True,0.0,0.0,0.0
2023-10-19,PYPL,-0.011743040630141862,payments,0.0,True,0.0,0.0,0.0
2023-10-19,GPN,-0.004426578998837288,payments,0.0,True,0.0,0.0,0.0
2023-10-19,AAPL,0.008857858472969382,device,0.0,True,0.0,0.0,0.0
2023-10-19,GOOGL,0.005567590164441121,device,0.0,True,0.0,0.0,0.0
2023-10-19,AMZN,0.006537876050109127,bigtech,0.0,True,0.0,0.0,0.0
2023-10-19,META,0.001836402792551952,bigtech,0.0,True,0.0,0.0,0.0
2023-10-31,DBK.DE,-0.004310165115662716,bank,-1.0,False,-1.0,0.0,0.0
2023-10-31,CBK.DE,0.007308171247462713,bank,-1.0,False,-1.0,0.0,0.0
2023-10-31,BNP.PA,0.0032966885536949986,bank,-1.0,False,-1.0,0.0,0.0
2023-10-31,GLE.PA,0.008098918682375396,bank,-1.0,False,-1.0,0.0,0.0
2023-10-31,ACA.PA,0.011361100060891319,bank,-1.0,False,-1.0,0.0,0.0
2023-10-31,SAN.MC,-0.006385349173581597,bank,-1.0,False,-1.0,0.0,0.0
2023-10-31,BBVA.MC,0.0016010518688875063,bank,-1.0,False,-1.0,0.0,0.0
2023-10-31,CABK.MC,-0.023837494416528326,bank,-1.0,False,-1.0,0.0,0.0
2023-10-31,SAB.MC,-0.01443045702794271,bank,-1.0,False,-1.0,0.0,0.0
2023-10-31,BKT.MC,-0.010926331167899034,bank,-1.0,False,-1.0,0.0,0.0
2023-10-31,UNI.MC,0.0008820694749126874,bank,-1.0,False,-1.0,0.0,0.0
2023-10-31,ISP.MI,0.030289805079249058,bank,-1.0,False,-1.0,0.0,0.0
2023-10-31,UCG.MI,0.0073426660938041965,bank,-1.0,False,-1.0,0.0,0.0
