date,mkt_rf,smb,hml,rf
2021-06-01,0.0066,-0.0014000000000000002,0.008199999999999999,0.0
2021-06-02,0.0021,-0.0034000000000000002,0.005,0.0
2021-06-03,-0.0076,-0.0019,0.0045000000000000005,0.0
2021-06-04,0.006999999999999999,0.0026,-0.0058,0.0
2021-06-07,0.0052,-0.0042,0.0024,0.0
2021-06-08,-0.0008,0.0004,-0.0042,0.0
2021-06-09,0.0008,-0.0039000000000000003,-0.0064,0.0
2021-06-10,-0.0001,-0.0007000000000000001,-0.0003,0.0
2021-06-11,0.0004,-0.0013,-0.0023,0.0
2021-06-14,0.0031,0.0004,-0.0011,0.0
2021-06-15,0.0007000000000000001,-0.0054,-0.0008,0.0
2021-06-16,-0.0085,-0.0027,-0.0049,0.0
2021-06-17,-0.009399999999999999,-0.0034999999999999996,-0.003,0.0
2021-06-18,-0.018799999999999997,0.0049,-0.0092,0.0
2021-06-21,0.0121,-0.0069,0.0064,0.0
2021-06-22,0.0031,0.0011,-0.0017000000000000001,0.0
2021-06-23,-0.006999999999999999,0.0055000000000000005,0.0014000000000000002,0.0
2021-06-24,0.0089,-0.0059,-0.0024,0.0
2021-06-25,0.0017000000000000001,0.0023,0.0011,0.0
2021-06-28,-0.0068000000000000005,0.0039000000000000003,-0.0109,0.0
2021-06-29,0.0014000000000000002,0.0016,-0.0025,0.0
2021-06-30,-0.0103,0.0034000000000000002,0.0015,0.0
2021-07-01,0.004699999999999999,-0.0019,0.0044,0.0
2021-07-02,0.0046,0.0038,-0.0062,0.0
2021-07-05,0.0026,0.0025,0.006,0.0
2021-07-06,-0.008100000000000001,0.0045000000000000005,-0.013999999999999999,0.0
2021-07-07,0.0048,-0.0063,-0.0059,0.0
2021-07-08,-0.0128,0.0029,0.0006,0.0
2021-07-09,0.015600000000000001,-0.0051,0.0079,0.0
2021-07-12,0.0045000000000000005,-0.0033,-0.0037,0.0
2021-07-13,-0.0063,-0.0002,-0.006,0.0
2021-07-14,0.0033,-0.0028000000000000004,0.0019,0.0
2021-07-15,-0.0116,0.0007000000000000001,0.0029,0.0
2021-07-16,-0.004,0.0012,-0.0070999999999999995,0.0
2021-07-19,-0.0217,0.0003,-0.014199999999999999,0.0
2021-07-20,0.0036,-0.0028000000000000004,0.0064,0.0
2021-07-21,0.0184,0.0011,0.0066,0.0
2021-07-22,0.0038,0.0044,-0.0101,0.0
2021-07-23,0.0091,-0.0046,-0.0001,0.0
2021-07-26,0.0034000000000000002,0.004699999999999999,0.0115,0.0
2021-07-27,-0.004699999999999999,0.002,0.0032,0.0
2021-07-28,0.0096,0.0006,-0.0098,0.0
