date,A5G.IR,AAPL,ABN.AS,ACA.PA,ADYEN.AS,ALPHA.AT,AMZN,AXP,BAMI.MI,BBVA.MC,BCP.LS,BG.VI,BIRG.IR,BKT.MC,BNP.PA,BPE.MI,CABK.MC,CBK.DE,DANSKE.CO,DBK.DE,DNB.OL,EBS.VI,ETE.AT,EUROB.AT,GLE.PA,GOOGL,GPN,INGA.AS,ISP.MI,KBC.BR,LLOY.L,MA,MB.MI,META,NEXI.MI,NWG.L,PYPL,RBI.VI,SAB.MC,SAN.MC,SHB-A.ST,SWED-A.ST,TPEIR.AT,UBSG.SW,UCG.MI,UNI.MC,V,WISE.L,WLN.PA,^GSPC,^STOXX
2022-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-04,,-0.012772739672573863,0.05308838458882015,0.02343181134337069,-0.03610812757805082,,-0.01706028968966322,0.03159811258218248,0.013894386854381047,0.02497085117894149,0.02646898047630586,0.010948762385402322,,0.021035173754552217,0.03294779083459343,0.01343712950251219,0.022555700657226452,0.04639644725300163,0.030058057734248855,0.029863496503418574,0.0029397345784136775,0.04047421623429104,0.0034422676476570935,0.005509733622835911,0.047139197139701494,-0.004091291925154117,0.025982697277545874,0.019078504738108126,0.020680284573246777,0.022501778910585024,,0.011898269685361562,0.01991820119365162,-0.005955017224398951,0.000349204843898665,,-0.019685578615311172,0.03802743790757113,0.0303053258792374,0.027412628520220084,-0.0004026177098443995,-0.00032444818745780424,0.0023049528491863036,0.02435555173347481,0.03739544874486089,0.03282640133081688,0.004640790365688652,,0.016076531483369294,-0.0006298202522039276,0.008191017156819136
2022-01-05,0.006241396144582301,-0.026959737038773746,0.017466800592869536,0.009920006966975592,-0.0070702901687793585,,-0.019073846316683962,-0.010713072165545512,0.011193446073376578,-0.002413568058319049,0.02839424172002669,-0.0183154397328682,-0.003023545620763235,0.004923612713449765,0.0012641459009237188,0.005481092195631865,-0.003656283443331798,0.019741011706756684,0.025476441713097486,0.013423047994193471,0.0004892380477921066,-0.014956955221666846,-0.007242694805395078,0.024531852750303507,0.010128658924593914,-0.04696173736968845,0.006784633552586072,0.010651574625231142,0.00997490418411151,0.00025587669039106586,0.015309853770244963,-0.003977248903122899,0.0019221731997336455,-0.03741906160830055,0.01833646871285044,0.010586670464738823,-0.021042311023657057,0.0,0.006145965639601569,0.0016474225380619378,0.0012073033902071373,0.0002162501395455152,0.004594234540717251,0.00643444864379239,0.00823169770881682,0.008719328528167203,-0.011119726599350344,0.0061588582128973,0.02853175611865133,-0.019583264304500858,0.0006678007299667499
2022-01-06,0.019366882346038894,-0.016834388590630134,0.0026927984031921426,0.011475233722570088,-0.03039063370500994,,-0.006733601858714522,0.009121910722794446,-0.009017163534486672,0.014393972612916084,0.01229382848744498,-0.013023374466396564,0.021715688793026322,0.027381752407538595,0.01348832891977425,-0.006004455953228849,0.041847054152475804,0.017255565309836296,-0.014956674551002358,0.02500111611523037,0.000977446787138625,0.011238497419358229,,,0.018433582510993585,-0.0001995925299977941,0.032520607663558465,0.006213243319656225,0.006184530575595315,0.014972919406284202,0.025712389245732048,-0.009173757576041552,-0.0024031526387919833,0.025251295383990957,-0.006879989234482409,0.02578108611236285,0.026936726463821614,-0.00298951906291256,0.030488263250474934,0.015679009307266067,,,,0.011017803829756367,-0.017096878891563083,0.02940599878381478,-0.0011371037029892506,-0.0679256518199507,0.0007651319847390425,-0.000964233740180731,-0.012600552219467431
2022-01-07,0.007816053666978573,0.0009878306647497226,-0.0021253634194953186,0.010008308743044925,-0.019619786869651712,,-0.004296997177475781,0.008523305361556766,0.023631574440375447,0.02336019702036496,0.037859425698321125,0.024966547374940973,0.01871261321438067,0.00662634221887215,0.004817670392545548,0.0,0.026195696823791303,0.03440581559239919,-0.009674129712734292,0.017621747576439084,0.021745165937957722,0.006729535832634248,,,0.01059833279262179,-0.00531742949163494,-0.00703242477078625,0.012158657194101252,0.007574872927082588,0.010773060749785124,0.01602483622155182,-0.0009465419859671087,-0.0004814629611296084,-0.002017179797763724,-0.031203214902660203,0.011834358770213882,-0.02458854057994042,0.006713893587569242,0.029282361791224565,0.008712540945619462,,,,0.025058484103485767,0.006901969955813048,0.0031563135773121642,-0.01277723542656517,-0.03075381966658508,-0.0159972409269038,-0.004058441082335662,-0.00392033353756549
2022-01-10,0.050189636797403514,0.00011603917746061398,-0.004406910190389635,0.005336466716260979,-0.08734202257581458,,-0.006591854785116702,-0.003676879753843565,-0.002480096975752244,-0.00179137214217584,0.009245035384944922,-0.020295797499975343,0.001090024640345133,-0.009747876027130564,-0.00778217637454981,0.0033980843862235766,0.0233006340376104,-0.02159183410097243,0.016764902290609562,0.0006466652865340095,0.000955599176935884,-0.015851340619537524,0.03356689740603691,0.03275599609802446,-0.005587880390264033,0.011988463916301484,-0.02146702838429615,0.0009175152238807271,0.004680336054524892,-0.0037448387161074237,-0.0005679414375303615,-0.015650175153505863,-0.0009634326661265291,-0.011275160132751871,-0.048897009687909776,0.0020262548766734056,-0.025099191791944975,-0.04563518703759817,0.005452950984187188,0.0009632504502055106,0.001486278901926319,-0.005434856484383133,0.029897458928721088,0.0,-0.0018264705291879402,-0.010029041624941393,-0.0232684834935446,-0.11278664078800116,-0.05511480416720271,-0.0014420705375393084,-0.014938775863797105
2022-01-11,0.022372326566328482,0.016644497884967357,-0.0027106691520693005,-0.0019237565797260991,0.021341672025316782,,0.023718602439307013,0.009395103899088042,0.018278299247256546,0.0032221858510042,0.029022461923767118,0.0009313768722223337,0.0072358205682150345,0.006026148578077262,0.005609248230169506,0.0072803668304465274,0.02131645729064635,-0.042057065116818615,0.018938280585297562,-0.004860706018618544,-0.0019120105917860286,0.008889046105977183,0.027136499974488526,0.02323831151878833,0.001966826510495956,0.007661378619841841,0.014116814876226513,0.0004583904268908867,0.007684420845288975,0.011192636881077078,0.0015138183922336346,0.006518949070840385,0.007681158013632228,0.019021039890659175,0.009676277922772147,-0.005684077543716803,0.045779252020521355,0.02155583201953304,-0.0012093133916881715,0.0011227861876587086,0.0024721913159124753,0.0001089980507336108,0.028314336108233196,0.0022469153628739136,-0.011171688588788253,-0.0021242945482046194,0.011305166176261316,0.035955210935859405,0.010923490331875563,0.00911828645239865,0.008398124542225993
2022-01-12,0.020701475350643816,0.0025671479666096175,0.00995052604752189,0.02125091441477478,0.013602287131413426,,-0.0009377696670975766,-0.005202353861719189,-0.0020923043895888505,0.018241912420484452,-0.012593612936725007,-0.00279714040071255,0.044765411251023624,0.031003559954976945,0.014959184608082765,-0.0010367431217565004,0.014440692274000355,0.010647833532508422,0.03012880860189071,-0.00733555761634852,0.014252007820563684,0.021426806193285852,0.010340107572314627,0.005922969390725424,0.013064135623645168,0.012053614665916257,-0.002485054566028211,0.019664854280416755,0.025262156225876686,0.016435994839913093,0.005468038404826903,0.0027807320797075263,0.012829913444291297,-0.0033252118186100077,0.017621645021307586,-0.007356030704250394,-0.022814674047992867,0.021100965902209445,-0.0051552579040090585,-0.001764789781397047,0.0049261226451040585,0.011270154806741317,0.002145177609524568,0.002802063543944744,-0.03281360365203145,0.007942838925319606,0.006184968389756129,0.028851208976223397,-0.002643365065983616,0.002813792014666916,0.0064378433779532784
2022-01-13,0.02413501539554419,-0.019211645851576975,0.0267946510329109,0.007656188092325156,-0.06154619593013333,,-0.024466534551061514,-0.00678646730502841,0.0027885384650703227,0.010648506207563413,0.04311243604473991,-0.0028049863464754132,0.004814117081189728,0.010588595314808824,0.024643940837773215,0.017481141221648122,0.011758348005666663,0.011463617655214753,0.026553615444624867,-0.0019653672753525697,0.016374700306814205,0.006135736824891769,0.0065248330033169655,-0.0069136393344726155,0.021547487683619693,-0.020310026063174114,0.0034235402514157798,0.009985946276815927,0.005875599331417014,0.010889420505155734,0.014745952987286426,0.00599877779647251,-0.007582991246910087,-0.020554365573439703,-0.0054735008161101995,0.017886640216021377,-0.03362522263066836,-0.035677366730397786,0.00787400646847436,0.00432644705214269,0.014149991823612318,-0.0015095670653151316,0.00711712303455414,0.003909545590346397,0.003081274746328244,-0.01594944097994372,-0.0032969840204728484,-0.003095977705128483,0.006190703748150561,-0.014346029234399538,-0.0003086128367248975
2022-01-14,-0.007334451892075267,0.005097583911354953,0.00261290483916099,-0.00867175981769508,-0.0770864408478733,,0.005715124523055337,-0.028624100017269782,-0.003836021104345,0.0012147714346362193,-0.014556196506200214,0.007462683610341525,0.001713897085603877,-0.007780621336207272,-0.009905478943507795,-0.003574188860720362,0.011972229796692102,-0.01522452469062685,0.001925025460484342,-0.020369894343848838,-0.0032535598255032383,-0.00796075534781826,-0.02508758503561137,-0.008959667553136638,-0.0002919322943952807,0.006426357382873782,0.00873946181057672,0.0025177731516046187,0.0005855793161327894,-0.002168458533599704,0.018359091167837516,0.007065354351328601,-0.011964647544886908,0.016465168176584832,-0.009558960450216425,0.0052242943747478066,-0.014411938551547543,-0.006979431191344698,-0.002718748564465301,0.012552739472090013,0.00048448979338377995,-0.007148435014975085,-0.008546858784755224,-0.0069920407498687,-0.008237833814049189,0.006410435467490705,-0.0015358008916859234,0.0006200006498886523,-0.04025721514718317,0.0008196442695904693,-0.010111611415440258
