date,ticker,close
2019-06-03,DBK.DE,5.16804313659668
2019-06-04,DBK.DE,5.39811897277832
2019-06-05,DBK.DE,5.309030055999756
2019-06-06,DBK.DE,5.153339385986328
2019-06-07,DBK.DE,5.160259246826172
2019-06-11,DBK.DE,5.354006290435791
2019-06-12,DBK.DE,5.303839683532715
2019-06-13,DBK.DE,5.278756141662598
2019-06-14,DBK.DE,5.213020324707031
2019-06-17,DBK.DE,5.283946514129639
2019-06-18,DBK.DE,5.475099086761475
2019-06-19,DBK.DE,5.609165191650391
2019-06-20,DBK.DE,5.4638543128967285
2019-06-21,DBK.DE,5.501047134399414
2019-06-24,DBK.DE,5.42406702041626
2019-06-25,DBK.DE,5.414553165435791
2019-06-26,DBK.DE,5.6204094886779785
2019-06-27,DBK.DE,5.6757659912109375
2019-06-28,DBK.DE,5.86432409286499
2019-07-01,DBK.DE,5.842700481414795
2019-07-02,DBK.DE,5.8401055335998535
2019-07-03,DBK.DE,5.995796203613281
2019-07-04,DBK.DE,6.056341171264648
2019-07-05,DBK.DE,6.205977439880371
2019-07-08,DBK.DE,5.871243476867676
2019-07-09,DBK.DE,5.62646484375
2019-07-10,DBK.DE,5.648087978363037
2019-07-11,DBK.DE,5.700849533081055
2019-07-12,DBK.DE,5.843565464019775
2019-07-15,DBK.DE,5.955143451690674
2019-07-16,DBK.DE,6.212896347045898
2019-07-17,DBK.DE,6.064990997314453
2019-07-18,DBK.DE,6.034718036651611
2019-07-19,DBK.DE,5.962062835693359
2019-07-22,DBK.DE,5.98974084854126
2019-07-23,DBK.DE,6.1705145835876465
2019-07-24,DBK.DE,6.056341171264648
2019-07-25,DBK.DE,6.148025989532471
2019-07-26,DBK.DE,6.15840482711792
2019-07-29,DBK.DE,6.119482517242432
2019-07-30,DBK.DE,5.965521812438965
2019-07-31,DBK.DE,6.089209079742432
2019-08-01,DBK.DE,6.136781215667725
2019-08-02,DBK.DE,6.054611682891846
2019-08-05,DBK.DE,5.955143451690674
2019-08-06,DBK.DE,5.815021991729736
2019-08-07,DBK.DE,5.696524620056152
2019-08-08,DBK.DE,5.9508185386657715
2019-08-09,DBK.DE,5.76139497756958
2019-08-12,DBK.DE,5.444825649261475
2019-08-13,DBK.DE,5.515751361846924
2019-08-14,DBK.DE,5.22859001159668
2019-08-15,DBK.DE,5.088468074798584
2019-08-16,DBK.DE,5.328057765960693
2019-08-19,DBK.DE,5.471639156341553
2019-08-20,DBK.DE,5.446555137634277
2019-08-21,DBK.DE,5.490667819976807
2019-08-22,DBK.DE,5.5970563888549805
2019-08-23,DBK.DE,5.500182151794434
2019-08-26,DBK.DE,5.477694034576416
2019-08-27,DBK.DE,5.5572686195373535
2019-08-28,DBK.DE,5.589271545410156
2019-08-29,DBK.DE,5.667116641998291
2019-08-30,DBK.DE,5.684415817260742
2019-09-02,DBK.DE,5.75015115737915
2019-09-03,DBK.DE,5.7293925285339355
2019-09-04,DBK.DE,5.831456184387207
2019-09-05,DBK.DE,6.130726337432861
2019-09-06,DBK.DE,6.153215408325195
2019-09-09,DBK.DE,6.338313579559326
2019-09-10,DBK.DE,6.443836688995361
2019-09-11,DBK.DE,6.477569103240967
2019-09-12,DBK.DE,6.416158676147461
2019-09-13,DBK.DE,6.621150493621826
2019-09-16,DBK.DE,6.483624458312988
2019-09-17,DBK.DE,6.323609352111816
2019-09-18,DBK.DE,6.240574836730957
2019-09-19,DBK.DE,6.368586540222168
2019-09-20,DBK.DE,6.320149898529053
2019-09-23,DBK.DE,6.098724365234375
2019-09-24,DBK.DE,5.976766586303711
2019-09-25,DBK.DE,6.005309581756592
2019-09-26,DBK.DE,5.882487773895264
2019-09-27,DBK.DE,5.993200778961182
2019-09-30,DBK.DE,5.943033695220947
2019-10-01,DBK.DE,5.775234222412109
2019-10-02,DBK.DE,5.679225444793701
2019-10-04,DBK.DE,5.6048407554626465
2019-10-07,DBK.DE,5.605705738067627
2019-10-08,DBK.DE,5.452610015869141
2019-10-09,DBK.DE,5.443960666656494
2019-10-10,DBK.DE,5.591001033782959
2019-10-11,DBK.DE,5.879027366638184
2019-10-14,DBK.DE,5.926600456237793
2019-10-15,DBK.DE,6.096994400024414
2019-10-16,DBK.DE,6.1575398445129395
2019-10-17,DBK.DE,6.17310905456543
2019-10-18,DBK.DE,6.134185791015625
2019-10-21,DBK.DE,6.314960479736328
2019-10-22,DBK.DE,6.218086242675781
2019-10-23,DBK.DE,6.21635627746582
2019-10-24,DBK.DE,6.107373237609863
2019-10-25,DBK.DE,6.208571910858154
2019-10-28,DBK.DE,6.253549098968506
2019-10-29,DBK.DE,6.240574836730957
2019-10-30,DBK.DE,5.745826721191406
2019-10-31,DBK.DE,5.616949558258057
2019-11-01,DBK.DE,5.704308986663818
2019-11-04,DBK.DE,5.9162211418151855
2019-11-05,DBK.DE,5.998390197753906
2019-11-06,DBK.DE,5.994931221008301
2019-11-07,DBK.DE,6.1039137840271
2019-11-08,DBK.DE,5.968982219696045
2019-11-11,DBK.DE,5.939574718475342
2019-11-12,DBK.DE,6.019148826599121
2019-11-13,DBK.DE,5.751881122589111
2019-11-14,DBK.DE,5.6679816246032715
2019-11-15,DBK.DE,5.687010288238525
2019-11-18,DBK.DE,5.724202632904053
2019-11-19,DBK.DE,5.698254585266113
2019-11-20,DBK.DE,5.70776891708374
2019-11-21,DBK.DE,5.738907337188721
2019-11-22,DBK.DE,5.780425071716309
2019-11-25,DBK.DE,5.771774768829346
2019-11-26,DBK.DE,5.70690393447876
2019-11-27,DBK.DE,5.771774768829346
2019-11-28,DBK.DE,5.725068092346191
2019-11-29,DBK.DE,5.6601972579956055
2019-12-02,DBK.DE,5.592731475830078
2019-12-03,DBK.DE,5.475963592529297
2019-12-04,DBK.DE,5.5970563888549805
2019-12-05,DBK.DE,5.576297760009766
2019-12-06,DBK.DE,5.643763065338135
2019-12-09,DBK.DE,5.656736850738525
2019-12-10,DBK.DE,5.609165191650391
2019-12-11,DBK.DE,5.674036026000977
2019-12-12,DBK.DE,5.866054058074951
2019-12-13,DBK.DE,5.813292026519775
2019-12-16,DBK.DE,6.020013809204102
2019-12-17,DBK.DE,6.0450968742370605
2019-12-18,DBK.DE,6.071045875549316
2019-12-19,DBK.DE,6.15840482711792
2019-12-20,DBK.DE,6.111697673797607
2019-12-23,DBK.DE,5.9741716384887695
2019-12-27,DBK.DE,5.973306655883789
2019-12-30,DBK.DE,5.982820987701416
2020-01-02,DBK.DE,6.354747772216797
2020-01-03,DBK.DE,6.270848274230957
2020-01-06,DBK.DE,6.214626789093018
2020-01-07,DBK.DE,6.429997444152832
2020-01-08,DBK.DE,6.647098541259766
2020-01-09,DBK.DE,6.673912525177002
2020-01-10,DBK.DE,6.655747890472412
2020-01-13,DBK.DE,6.556279182434082
2020-01-14,DBK.DE,6.705914497375488
2020-01-15,DBK.DE,6.547630310058594
2020-01-16,DBK.DE,6.59866189956665
2020-01-17,DBK.DE,6.563199043273926
2020-01-20,DBK.DE,6.421347618103027
2020-01-21,DBK.DE,6.487083911895752
2020-01-22,DBK.DE,6.5493597984313965
2020-01-23,DBK.DE,6.646233558654785
2020-01-24,DBK.DE,6.771650791168213
2020-01-27,DBK.DE,6.700725078582764
2020-01-28,DBK.DE,6.807113170623779
2020-01-29,DBK.DE,6.897068023681641
2020-01-30,DBK.DE,7.188553810119629
2020-01-31,DBK.DE,7.165200233459473
2020-02-03,DBK.DE,7.032863616943359
2020-02-04,DBK.DE,7.062272071838379
2020-02-05,DBK.DE,7.14790153503418
2020-02-06,DBK.DE,8.069931030273438
2020-02-07,DBK.DE,8.242920875549316
2020-02-10,DBK.DE,8.13393783569336
2020-02-11,DBK.DE,8.364013671875
2020-02-12,DBK.DE,8.639066696166992
2020-02-13,DBK.DE,8.812055587768555
2020-02-14,DBK.DE,8.810325622558594
