LEI_Code,NSA,Period,Item,Label,ASSETS_FV,ASSETS_Stages,Exposure,Financial_instruments,Amount,Fin_end_year,n_quarters,footnote
0W2PZJM8XOY22M4GG883,DE,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,12,6365.12348197,0,4,
0W2PZJM8XOY22M4GG883,DE,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,21,419.62293243,0,4,
0W2PZJM8XOY22M4GG883,DE,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,22,676.43720967,0,4,
0W2PZJM8XOY22M4GG883,DE,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,101,30,1548.2861656,0,4,
0W2PZJM8XOY22M4GG883,DE,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,101,31,0,0,4,
0W2PZJM8XOY22M4GG883,DE,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,102,30,5606.19786205,0,4,
0W2PZJM8XOY22M4GG883,DE,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,102,31,366.50625502,0,4,
0W2PZJM8XOY22M4GG883,DE,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,201,30,14854.05871545,0,4,
0W2PZJM8XOY22M4GG883,DE,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,201,31,1810.19802628,0,4,
0W2PZJM8XOY22M4GG883,DE,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,202,30,22101.06997714,0,4,
0W2PZJM8XOY22M4GG883,DE,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,202,31,12110.87989029,0,4,
0W2PZJM8XOY22M4GG883,DE,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,301,30,1263.46466924,0,4,
0W2PZJM8XOY22M4GG883,DE,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,301,31,883.26703073,0,4,
0W2PZJM8XOY22M4GG883,DE,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,401,30,741.62204289,0,4,
0W2PZJM8XOY22M4GG883,DE,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,401,31,681.01911569,0,4,
0W2PZJM8XOY22M4GG883,DE,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,40,36090.72604889,0,4,
0W2PZJM8XOY22M4GG883,DE,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,41,189.96577003,0,4,
0W2PZJM8XOY22M4GG883,DE,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,50,883.77724747,0,4,
0W2PZJM8XOY22M4GG883,DE,201912,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,0,90550.3863528,0,4,
0W2PZJM8XOY22M4GG883,DE,201909,2020305,Interest expenses - (Of which deposits expenses),0,0,0,0,103.35792181,0,3,
0W2PZJM8XOY22M4GG883,DE,201909,2020310,Gains or (-) losses on derecognition of financial assets and liabilities not measured at fair value through profit or loss_ and of non financial assets_ net,0,0,0,0,8.97443913,0,3,
0W2PZJM8XOY22M4GG883,DE,201909,2020311,Gains or (-) losses on financial assets and liabilities held for trading_ net,0,0,0,0,73.32886103,0,3,
0W2PZJM8XOY22M4GG883,DE,201909,2020312,Gains or (-) losses on financial assets and liabilities designated at fair value through profit or loss_ net,0,0,0,0,120.64389676,0,3,
0W2PZJM8XOY22M4GG883,DE,201912,2020305,Interest expenses - (Of which deposits expenses),0,0,0,0,134.42542817,0,4,
0W2PZJM8XOY22M4GG883,DE,201912,2020310,Gains or (-) losses on derecognition of financial assets and liabilities not measured at fair value through profit or loss_ and of non financial assets_ net,0,0,0,0,16.0647883,0,4,
0W2PZJM8XOY22M4GG883,DE,201912,2020311,Gains or (-) losses on financial assets and liabilities held for trading_ net,0,0,0,0,41.73767165,0,4,
0W2PZJM8XOY22M4GG883,DE,201912,2020312,Gains or (-) losses on financial assets and liabilities designated at fair value through profit or loss_ net,0,0,0,0,117.1895766,0,4,
2138004FIUXU3B2MR537,PT,201909,2021001,"Cash, cash balances at central banks and other demand deposits",0,0,0,0,1546.61963079,0,3,
2138004FIUXU3B2MR537,PT,201912,2021001,"Cash, cash balances at central banks and other demand deposits",0,0,0,0,1016.49259095,0,4,
