LEI_Code,NSA,Period,Item,Label,ASSETS_FV,ASSETS_Stages,Exposure,Financial_instruments,Amount,Fin_end_year,n_quarters,Footnote,Row,Column,Sheet
0W2PZJM8XOY22M4GG883,DE,202212,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,202,31,16737.51651501,0,4,,41,6,Liabilities
0W2PZJM8XOY22M4GG883,DE,202212,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,301,30,1627.49221735,0,4,,42,6,Liabilities
0W2PZJM8XOY22M4GG883,DE,202212,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,301,31,1254.67151715,0,4,,43,6,Liabilities
0W2PZJM8XOY22M4GG883,DE,202212,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,401,30,1172.24195684,0,4,,44,6,Liabilities
0W2PZJM8XOY22M4GG883,DE,202212,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,401,31,922.44233685,0,4,,45,6,Liabilities
0W2PZJM8XOY22M4GG883,DE,202212,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,40,28999.73679829,0,4,,46,6,Liabilities
0W2PZJM8XOY22M4GG883,DE,202212,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,41,281.55038808,0,4,,47,6,Liabilities
0W2PZJM8XOY22M4GG883,DE,202212,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,50,1181.58942445,0,4,,48,6,Liabilities
0W2PZJM8XOY22M4GG883,DE,202212,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,0,89947.90462466,0,4,,49,6,Liabilities
0W2PZJM8XOY22M4GG883,DE,202303,2321214,TOTAL LIABILITIES,0,0,0,0,100856.40529194,0,1,,23,7,Liabilities
0W2PZJM8XOY22M4GG883,DE,202303,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,12,12413.0533169,0,1,,31,7,Liabilities
0W2PZJM8XOY22M4GG883,DE,202303,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,21,88.48344537,0,1,,32,7,Liabilities
0W2PZJM8XOY22M4GG883,DE,202303,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,22,792.34331146,0,1,,33,7,Liabilities
0W2PZJM8XOY22M4GG883,DE,202303,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,101,30,1704.49791667,0,1,,34,7,Liabilities
0W2PZJM8XOY22M4GG883,DE,202303,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,101,31,0,0,1,,35,7,Liabilities
0W2PZJM8XOY22M4GG883,DE,202303,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,102,30,7755.31549977,0,1,,36,7,Liabilities
0W2PZJM8XOY22M4GG883,DE,202303,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,102,31,2284.44229198,0,1,,37,7,Liabilities
0W2PZJM8XOY22M4GG883,DE,202303,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,201,30,19681.48996262,0,1,,38,7,Liabilities
0W2PZJM8XOY22M4GG883,DE,202303,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,201,31,2859.69694466,0,1,,39,7,Liabilities
0W2PZJM8XOY22M4GG883,DE,202303,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,202,30,21767.14748133,0,1,,40,7,Liabilities
0W2PZJM8XOY22M4GG883,DE,202303,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,202,31,16381.86950596,0,1,,41,7,Liabilities
0W2PZJM8XOY22M4GG883,DE,202303,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,301,30,1765.30069266,0,1,,42,7,Liabilities
0W2PZJM8XOY22M4GG883,DE,202303,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,301,31,1208.06173797,0,1,,43,7,Liabilities
0W2PZJM8XOY22M4GG883,DE,202303,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,401,30,1148.7660003,0,1,,44,7,Liabilities
0W2PZJM8XOY22M4GG883,DE,202303,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,401,31,875.50751421,0,1,,45,7,Liabilities
0W2PZJM8XOY22M4GG883,DE,202303,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,40,31931.94321573,0,1,,46,7,Liabilities
0W2PZJM8XOY22M4GG883,DE,202303,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,41,343.26086457,0,1,,47,7,Liabilities
0W2PZJM8XOY22M4GG883,DE,202303,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,50,771.2551059,0,1,,48,7,Liabilities
0W2PZJM8XOY22M4GG883,DE,202303,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,0,99819.59594871,0,1,,49,7,Liabilities
0W2PZJM8XOY22M4GG883,DE,202306,2321214,TOTAL LIABILITIES,0,0,0,0,97598.50333059,0,2,,23,8,Liabilities
0W2PZJM8XOY22M4GG883,DE,202306,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,12,11900.90181721,0,2,,31,8,Liabilities
0W2PZJM8XOY22M4GG883,DE,202306,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,21,89.52248281,0,2,,32,8,Liabilities
0W2PZJM8XOY22M4GG883,DE,202306,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,22,835.04530124,0,2,,33,8,Liabilities
0W2PZJM8XOY22M4GG883,DE,202306,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,101,30,0,0,2,,34,8,Liabilities
0W2PZJM8XOY22M4GG883,DE,202306,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,101,31,0,0,2,,35,8,Liabilities
0W2PZJM8XOY22M4GG883,DE,202306,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,102,30,6792.92456252,0,2,,36,8,Liabilities
0W2PZJM8XOY22M4GG883,DE,202306,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,102,31,1940.84486101,0,2,,37,8,Liabilities
0W2PZJM8XOY22M4GG883,DE,202306,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,201,30,18569.84768043,0,2,,38,8,Liabilities
0W2PZJM8XOY22M4GG883,DE,202306,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,201,31,3440.12977289,0,2,,39,8,Liabilities
0W2PZJM8XOY22M4GG883,DE,202306,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,202,30,21211.05917102,0,2,,40,8,Liabilities
0W2PZJM8XOY22M4GG883,DE,202306,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,202,31,15412.87585506,0,2,,41,8,Liabilities
